ColorName,HexValue,Red,Green,Blue
Red,#FF0000,255,0,0
Green,#00FF00,0,255,0
Blue,#0000FF,0,0,255
Cyan,#00FFFF,0,255,255
Magenta,#FF00FF,255,0,255
Yellow,#FFFF00,255,255,0
Black,#000000,0,0,0
White,#FFFFFF,255,255,255
Orange,#FF7F00,255,127,0
AbsoluteZero,#0048BA,0,72,186
AcidGreen,#B0BF1A,176,191,26
Aero,#7CB9E8,124,185,232
AeroBlue,#C0E8D5,192,232,213
AfricanViolet,#B284BE,178,132,190
AirSuperiorityBlue,#72A0C1,114,160,193
Alabaster,#EDEAE0,237,234,224
AliceBlue,#F0F8FF,240,248,255
AlloyOrange,#C46210,196,98,16
Almond,#EFDECD,239,222,205
Amaranth,#E52B50,229,43,80
AmaranthMP,#9F2B68,159,43,104
AmaranthPink,#F19CBB,241,156,187
AmaranthPurple,#AB274F,171,39,79
AmaranthRed,#D3212D,211,33,45
Amazon,#3B7A57,59,122,87
Amber,#FFBF00,255,191,0
AmberSAEECE,#FF7E00,255,126,0
Amethyst,#9966CC,153,102,204
AndroidGreen,#A4C639,164,198,57
AntiqueBrass,#CD9575,205,149,117
AntiqueBronze,#665D1E,102,93,30
AntiqueFuchsia,#915C83,145,92,131
AntiqueRuby,#841B2D,132,27,45
AntiqueWhite,#FAEBD7,250,235,215
AoEnglish,#008000,0,128,0
AppleGreen,#8DB600,141,182,0
Apricot,#FBCEB1,251,206,177
Aqua,#00FFFF,0,255,255
Aquamarine,#7FFFD4,127,255,212
ArcticLime,#D0FF14,208,255,20
ArmyGreen,#4B5320,75,83,32
Artichoke,#8F9779,143,151,121
ArylideYellow,#E9D66B,233,214,107
AshGray,#B2BEB5,178,190,181
Asparagus,#87A96B,135,169,107
AtomicTangerine,#FF9966,255,153,102
Auburn,#A52A2A,165,42,42
Aureolin,#FDEE00,253,238,0
Avocado,#568203,86,130,3
Azure,#007FFF,0,127,255
AzureWeb,#F0FFFF,240,255,255
BabyBlue,#89CFF0,137,207,240
BabyBlueEyes,#A1CAF1,161,202,241
BabyPink,#F4C2C2,244,194,194
BabyPowder,#FEFEFA,254,254,250
BakerMillerPink,#FF91AF,255,145,175
BananaMania,#FAE7B5,250,231,181
BarbiePink,#DA1884,218,24,132
BarnRed,#7C0A02,124,10,2
BattleshipGrey,#848482,132,132,130
BeauBlue,#BCD4E6,188,212,230
Beaver,#9F8170,159,129,112
Beige,#F5F5DC,245,245,220
BDazzledBlue,#2E5894,46,88,148
BigDipORuby,#9C2542,156,37,66
Bisque,#FFE4C4,255,228,196
Bistre,#3D2B1F,61,43,31
BistreBrown,#967117,150,113,23
BitterLemon,#CAE00D,202,224,13
BitterLime,#BFFF00,191,255,0
Bittersweet,#FE6F5E,254,111,94
BittersweetShimmer,#BF4F51,191,79,81
BlackBean,#3D0C02,61,12,2
BlackChocolate,#1B1811,27,24,17
BlackCoffee,#3B2F2F,59,47,47
BlackCoral,#54626F,84,98,111
BlackOlive,#3B3C36,59,60,54
BlackShadows,#BFAFB2,191,175,178
BlanchedAlmond,#FFEBCD,255,235,205
BlastOffBronze,#A57164,165,113,100
BleuDeFrance,#318CE7,49,140,231
BlizzardBlue,#ACE5EE,172,229,238
Blond,#FAF0BE,250,240,190
BloodRed,#660000,102,0,0
BlueCrayola,#1F75FE,31,117,254
BlueMunsell,#0093AF,0,147,175
BlueNCS,#0087BD,0,135,189
BluePantone,#0018A8,0,24,168
BluePigment,#333399,51,51,153
BlueRYB,#0247FE,2,71,254
BlueBell,#A2A2D0,162,162,208
BlueGray,#6699CC,102,153,204
BlueGreen,#0D98BA,13,152,186
BlueGreenColorWheel,#064E40,6,78,64
BlueJeans,#5DADEC,93,173,236
BlueSapphire,#126180,18,97,128
BlueViolet,#8A2BE2,138,43,226
BlueVioletCrayola,#7366BD,115,102,189
BlueVioletColorWheel,#4D1A7F,77,26,127
BlueYonder,#5072A7,80,114,167
Bluetiful,#3C69E7,60,105,231
Blush,#DE5D83,222,93,131
Bole,#79443B,121,68,59
Bone,#E3DAC9,227,218,201
BottleGreen,#006A4E,0,106,78
Brandy,#87413F,135,65,63
BrickRed,#CB4154,203,65,84
BrightGreen,#66FF00,102,255,0
BrightLilac,#D891EF,216,145,239
BrightMaroon,#C32148,195,33,72
BrightNavyBlue,#1974D2,25,116,210
BrightYellowCrayola,#FFAA1D,255,170,29
BrilliantRose,#FF55A3,255,85,163
BrinkPink,#FB607F,251,96,127
BritishRacingGreen,#004225,0,66,37
Bronze,#CD7F32,205,127,50
Brown,#88540B,136,84,11
BrownSugar,#AF6E4D,175,110,77
BrunswickGreen,#1B4D3E,27,77,62
BudGreen,#7BB661,123,182,97
Buff,#F0DC82,240,220,130
Burgundy,#800020,128,0,32
Burlywood,#DEB887,222,184,135
BurnishedBrown,#A17A74,161,122,116
BurntOrange,#CC5500,204,85,0
